,Username,Tweet,Category
21,LaSagesse78190,"@JCQDSE J’ai qu’un seul truc à dire à Hidalgo : « Touche pas au grisbi, salope ! »",2
22,bellelleclaude,"@FrDumont83 @BFMTV @Bruce_Toussaint @vpecresse Chère Madame
Vous soutenez une femme Valérie Pécresse vous ne regrettez pas l'abandon du LR et elle revient pour subvenir à ses besoins financiers pour moi j'aime pas les lâches donc mes voix irons à Marine Le Pen je n'ai jamais soutenue une salope merci de m'avoir lu",2
23,NINJAVIRA,"Minc, une des personnes qui a permis l'ascension de Macron ( rappelez vous la video où il le traite de petite pute .. ) a compris trop tard que son padawan lui a mis à l''envers, et Attali ausisi au passage ... est derrière Pecresse 🤣🤣🤣🤣🤣🤣🤣🤣

https://t.co/nKAlMyg3Fc",0
24,Thomas_Mors,"@gregtabibian Je suis un fils de pute à trottinette 😂 
Mais pas d'amalgame, on ne vote pas tous Hidalgo...",1
25,Fils_Pute,"Dans les 2 dernières semaines Pecresse s’effondrera en dessous de 10 dans les sondages.
Retenez bien ce tweet.",0
26,_67kxrde,"Elle sort d’où Pécresse ? J’ai envie d’la tarter cette salope",2
27,tounychat,"@Anne_Hidalgo Quelle  salope",2
28,ApresLaPub,"Entre #Pecresse qui veut le soutien d'un escroc mis en examen (14 fois, tout de même) et #Zemmour qui est heureux du soutien du plus grand fils de pute de l'histoire américaine, on est pas mal. J'attends qu'Hidalgo fasse déterrer Mitterand pour un selfie et ce sera parfait.",1
29,MaitreKoro,"Pas un conseil en investissement, non sponso, DYOR, oui le titre est pute à clic, tu vas faire quoi, RT 💙. Ta vie sera peut être meilleur dans le metaverse, t’auras une femme virtuelle que t’appelleras Pecresse. 

Je pense quand même que c’est un Mint à pas louper clairement 🔥",1
30,BattyWR,"Jamais de la vie la salope de Pecresse vous avez bu ? https://t.co/Ivx7d0NAY6",2
31,renetambour,"1) titre pute à clique bien mensonger
2) la majorité des anciens électeurs de Hamon préfèrent voter Jadot (20%)
3) des anciens électeurs effectivement veulent voter Pécresse (16% et je ne les comprends pas ??)
4) je déteste BFMTV https://t.co/7p8lyysFDP",0
32,mugiwara_yaa92,"Pecresse cette salope",2
33,Holyknt,"@GillesDor5 @franceinfo Vous avez raison, c'est une conasse la Pécresse Gilles. Mouillée jusqu'au coup avec Macrotte dans l'affaire Alstom. Des saloperies mondialistes formatées pour détruire nos vies et enrichir les Ultra-riches.",1
34,epymethee,"@patriote_lola @Rhume19 Quoi de plus normal pour une épave à la dérive depuis sa puberté. #Pecresse est la pute non trans de #Macron.",2
35,LHommeRobuste,"@JrmyPatriote Pécresse mais rappellez -vous que c’est lui qui a présenté Macron chez Rothschild précisant que banquier d’affaires était un métier de pute et notre président avait le profil idéal et comme en plus il était charmant … Ah ce vieil Alain en a fait des conneries!
🤣😂😅",0
36,a_enemies,"Image rare d'Édouard #Balladur promenant sa petite chienne Valérie.

@Teddyruptif @pbriday @ChickNovice
@chaxou11 @NilsVay @DidierTesChiant
@NilsVay @laure_durain @funcorporation
cc @vpecresse #Pécresse #Pécresse2022 
#PécresseNaufrage #PécresseDétresse https://t.co/XfD1i3BTAx",2
37,Chanchan5021,"@DamienRieu @MagLincorrect Salope,pourriture.Mon père qui lui a fait toute sa carrière à Alsthom de La Rochelle, n a pas eu le temps de profiter de sa retraite,mort par l amiante. Ordure Pécresse en détresse.",2
38,BoKenjo,"@QsB75 @cbrossel @nicolas_nordman @amaurygaillard @egregoire @Anne_Hidalgo c'est marrant c'est le même qui a salopé le quartier bd Sébastopol la nuit de vendredi à samedi dernier @aurelien_veron @cbrossel https://t.co/tdnA7y5wC8",0
39,andreas_lundula,"@luXemusicBX @booba Parce que les gens sont pas con, Gims ne soutient pas Valérie pecresse et ne l’a jamais soutenu. Il a collaboré avec pour recevoir de l’argent afin d’aider des jeunes. Et cette histoire date de 2018 juste cette pute de pecresse l’a ressorti pour le faire passer comme un soutien 1",2
40,DJELLOULIAhme16,"@AJArabic ce message concerne cette chienne de valery pecresse pour ne pas dire pecheresse",2
41,emmapeels_,"@valerieboyer13 @vpecresse @avecValerie Le démantèlement de la #France 

Par Valérie Macron pécresse 

Ce chien et cette chienne tenue 

En laisse nourries par leurs maîtres 

Vous savez ce #Qui 

https://t.co/JvZTzfcBCt",2
42,DSceve,"@brunogollnisch Le problème principal de Pécresse est que contrairement à ses prédécesseurs du RPR, de l'UMP et de LR elle ne sait même pas faire la pute correctement.",2
43,HephaestusAngry,"@ECiotti Le problème principal de Pécresse est que contrairement à ses prédécesseurs du RPR, de l'UMP et de LR elle ne sait même pas faire la pute correctement.",2
44,Lee11240,"@WKoubarak Moi

Mais vue que je suis pas candidat alors jcp, tout ce que je sais c'est que quoi qu'il arrive je vote pas pour :
Mélenchon
Macron la pute
Le duo des meuf conne Hidalgo et l'autre j'ai oublié sont nom

Sa laisse Pécresse, le z, ou Marine bien que elle pas ouf elle zst nul",2
45,DSceve,"@maelbdlh @pmcouteaux Le problème de Pécresse c'est que contrairement à ses prédécesseurs du RPR, de l'UMP et de LR elle ne sait même pas faire la pute correctement.",2
46,LaoTzeub,"@Rebelote5 Irl elle est tres sympa, elle défend juste pecresse comme une chienne défend son maître.",2
47,mrericmas,"Ne le contrariez pas ou il vous traitera de ""salope""

@vpecresse #LR #Pecresse2022 #Pecresse #ValeriePecresse @eciotti 

#medias #etat #France  #gouvernement #Elysee #Macron #Macron2022 #EnMarche #Elections2022 #5ansdeplus #EnsembleCitoyens #Elysee2022 #Presidentielle2022 #COVID https://t.co/ngFIkBWAPB https://t.co/MXgAxH6l2t",0
48,joshuwaaa,"Ils nous font chier ces fils de pute de politique de merde putain qu’est-ce qu’on en a à fouttre qu’une fille se voile, surtout qu’elles le font toutes de leur plein gré on est plus au moyen âge orh, pecresse tg sale fraude https://t.co/1jxA2ZL6Eh",1
49,Johannickg,"@PaulLarrouturou @LCI La salope de Pecresse",2
50,Johannickg,"@vpecresse Salope de pecresse",2
51,de_complotiste,"@Pecresse_Team Ah parce que tu veux nous faire croire qu entant que membre des young leader comme notre fils de pute de président c’est pas la même chose que toi #noussavons que vous êtes tous des vendus franc maçon de merde votre fin approche",1
52,B3lLaurent,"Pecresse grosse pute #PecresseDetresse",2
53,inisbets,"- La mémère Bouchard, qui veut 5 ans de plus à se faire chier dessus par les migrants que Macron ne renvoie pas
- La super salope Dati, incontinente et impuissante, assez tarée pour s'être faite battre par Hidalgo, il fallait le faire.
Valérie, ne me déçoit pas... #zemmour",2
54,Gordios_Desmos,"Macron enculé
Véran petite chienne 
Castex zizi mou
Hidalgo vieille harpie
Darmanin petit étron 
SIC SEMPER ENCULIS",1
55,XavierE58744823,"Toutes les suggestions de Twitter dans mon fil d'actualité sont soient pro Pécresse soient pro macron, le foutage de gueule et le bourrage de crâne de @TwitterFrance la pute est infernal.
Je bloque direct tout ce qui est proposé.",1
56,JAsensio,"@MartinRicher12 @Anne_Hidalgo @PS_Paris12 Euuuuuuuuuuuuurk ! Ouvrez vos yeux de merlans frits et regardez comment l’équipe de bras cassés idéologues entourant la Saccageuse salope méthodiquement Paris depuis qu’elle en a pris la calamiteuse gestion !",1
57,Crnpsg78,"Aucun candidat fait plus pitié que pecresse elle est trop perdue cette pute elle sait même pas ce qu’elle raconte elle se contredit tout le temps ça fait peur",2
58,jacquie1859,"@DidierB59930334 @garaflan Certains crieraient "" salope "" , d autres "" ordure "" et j en passe ...
Je ne suis pas vulgaire et donc je noterais simplement que l hubris, la soif de pouvoir , l orgueil mêlé à un aveuglement indécent , nous révèlent une Hidalgo plus noire encore que l abîme",1
59,ManuMoncom,"@VincentJEANBRUN @Anne_Hidalgo alors vieille pute? On prend pas le vélo?",2
60,Pepinlabulle2,"Très déçue qu'aucun candidat a la présidentielle ne se soit emparé de ma proposition de ""permis de baiser"" à points. Il y a tellement d'hommes non qualifiés qui sévissent c'est un vrai problème de santé publique. 
@JLMelenchon 
@EmmanuelMacron 
@vpecresse 
@Anne_Hidalgo",0
61,yussef961,"@Pecresse_Team a la fois trop facho pour sucer ciotti qui suce zemmour mais a la fois pas assez de gauche vu que le ps est facho du coup...",1
62,fockeur45,"#HDPros, @Laurent_Joffrin n'aurait pas oublié son traitement ce matin ?! Il est hystérique ! 
#Hidalgo #praud @PascalPraud #cnews",1
63,slimrami,"L’effroi que ces mots, quintessence de ce miserable petit être #Zemmour, l’esprit munichois,la braderie façon #Pétain,et l’envie subliminale de se faire baiser par #poutine..« oui prend moi mon Vlad ça m’excite les dictateurs paranoïaques, on va les soumettre ces eureupophiles https://t.co/cYZXl4DAqs",1
64,Thomcoc16,"@Mr_Frexit 2143 pour Valérie Pécresse ... À part vouloir se montrer et lui sucer la moelle, ça sert à quoi de continuer à lui donner son parrainage ?",0
65,ZeganZOZZ,"@F_Desouche salope @Anne_Hidalgo Vivement que le PS creve definitivement",1
66,juliega46933538,"@InterPolitique @Anne_Hidalgo @ZemmourEric SALOPE
DEGAGES",2
67,calypso33320,"@InterPolitique @Anne_Hidalgo @ZemmourEric Dixit celle qui a davantage de parrainages que d'électeurs ! Elle n'a aucun amour propre, aucune dignité... Personne ne veut d'une femme qui détruit Paris un peu chaque jour, rendez vous compte comment elle peut gérer la France ! Poufiasse un jour, poufiasse toujours !",2
68,trenteet1,"Des salauds.
Ce sont des salauds
Pecresse est une véritable salope.
Elle fait exactement le contraire de ce qu’elle dit.
Après la triche pour être élue candidate, la triche pour tenter d’être élue Présidente 
Ces gens sont à dégager ! https://t.co/Rg1XQEq4U6",2
69,InternetForDev,"@SamGontier @CNEWS @LaurenceFerrari @SoMabrouk @LaurentObertone @canalplusgroupe La prosti-pute Manuel Valls ne peut s'empêcher de sourire quand le crétin @GeorgesFENECH attaque Taubira et le suce.

L'islamophobe @SoMabrouk propage que Valls serait encore ""un homme de gauche"" .... Valls la ""remercie"" (tu m'étonnes)",1
70,DidierReby,"@InterPolitique @Anne_Hidalgo @ZemmourEric Une  hystérique madame saccage #paris incompétente gestion de la capitale et madame 2%dans les sondages. Vous êtes nuisible pour la démocratie. Une cruche de première 🤣🤣🤣👏",2
71,___lesage,"@InterPolitique @Anne_Hidalgo @ZemmourEric Salope gauchiste",2
72,rtipaphy,"@Dbussereau C'est vrai qu'@Anne_Hidalgo qui a salopé tout Paris avec ses déjections incarne une vraie présence sur le terrain",1
73,joblack061,"Je comprends pas pourquoi elles font ça devant tout le monde alors que ça devrait être dans la discrétion! C’est comme si on se mettait à baiser dans la rue devant tout le monde… je n’ai rien contre les musulmans mais ils ne font aucuns efforts pour s’intégrer #laïcité #zemmour https://t.co/nZgvqpaI0h",?
74,AmenAme91689166,"@SebVincini @Anne_Hidalgo Hidalgo. Mais arrête de sucer toi. Tu l auras ta place",2
75,gwendal_pnr,"Jpp de voir des gens de gauche de ma tl faire des coming out pro Roussel ou Taubira purée c’est terrible de sucer les républicains et les fachos de la sorte vous me déprimez c à cause de vous qu’on passera pas le 1er tour",1
76,alanmarc32,"j'avais proposé de voter jean lassalle si Zemmour n'avait pas le signatures mais je vois que je serai un peu seul
alors je vais faire autre chose
- je voterai Tatie Le Pen au 1er tour pour faire barrage à la pécresse
- et je voterai Macron au second pour faire barrage à la salope",2
77,gwen_nicolas17,"@TPMP Faire des leçons sur l'humour en permanence et nous montrer ce clip sur Macron-Zorro qui est gênant tellement c'est mauvais. Ça ne s'arrange pas chez le gourou hystérique. Et encore une couche sur Taubira avec un  clip encore plus pitoyable",1
78,casex13,"Hidalgo qui se permet avec ses 2 %  d'intention de vote, de critiquer Zemmour. C'est vraiment une grosse petasse, une incapable qui a saccagé Paris.Elle est vraiment pourrie.A dégager.... https://t.co/uIuX1xmHGL",2
79,girardo48705400,"@InterPolitique @Anne_Hidalgo @ZemmourEric Poufiasse hidalgo pour qui te prends tu?..on est en démocratie tu es pitoyable pauvre fille",2
80,mariemariedu33,"@BQuestel @FrancoisFillon @vpecresse Vous êtes vraiment une langue de pute!!!! Fillon s’est retiré de la politique depuis 5ans et maintenant vous vous en prenez à V. Pecresse!!! Aucune classe vous êtes comme C. Beaune désavoué par Macron!!!",2
81,NElLlMlXAM,"Jsuis sur ce sale fils de pute a donner sa signature a Pécresse ou Zemmour https://t.co/6pA0uSgzpD",1
82,NiegelLeCastor,"@InterPolitique @vpecresse En tant que juif sepharade, je suis scandalisé par ce qu'elle dit. Si demain, on me disait oublie la shoah regarde plus dans le passé. Je la traiterai d'antisémite. Quelle salope cette Pecresse.",2
83,inisbets,"@incognito1290 @GWGoldnadel Juste un seul enculé, ça compte pas. Pour nous le prouver, Raquel doit maintenant sucer devant témoin la bite à #zemmour yaksa qui pourra l'innocenter...",?
84,EliasAbss,"On te baise @Anne_Hidalgo https://t.co/vzMSzJsi26",2
85,physusvsnorma,"C'est moi ou les zemmouriste sont les seuls à sucer autant leur candidat. Macron, Hollande, Sarkozy, Marine Lepen n'ont jamais été autant mis en avant. C'est fou ça. Je vais finir par croire que parmi eux il y a des robots, ce n'est pas possible. 🤣🤣🤣#Zemmour",0
86,Sloane2010,"@generationz_66 @Noesis14 @cavousf5 @bchameroy Comme disait la chanson de Renaud: 
La mer, c'est dégueulasse
Zemmour baise dedans
Dès que le vent soufflera
Je repartira
Dès que les vents tourneront
Nous nous en allerons

#Zemmour l'adultère en pleine mer https://t.co/wJOHLMfnDT",0
87,DoluHelio,"@GilbertCollard Décidément pire conasse on ne peut pas trouver. Parler avec les gens pour déterminer son âge !...mais Hidalgo n a pas encore l âge de maturité !",1
88,Architeuthis666,"@MoreauL61228764 @Azulbleue Tout à fait. C'est le denier coup de Macaron. Il terrorise les élus pour que ces principaux adversaires ne puissent pas être candidats. Il va rester Pécresse et lui au 2nd tour. Il sera sûr d'être réélu. Bien joué, Macaron. Les français vont encore se faire baiser. Il est fort.😂",0
89,PTrentenaire,"Les analyses politiques du rappeur raté Cortex se limitent au fait qu'il « baise ce pays de merde ».

Un plaidoyer digne de nos plus grands politologues.

#presidentielles2022 #Macron #Pecresse #LePen #Hidalgo #EricZemmour #Roussel https://t.co/CQJQWe2cGx",0
90,danielr70776956,"@Anne_Hidalgo @2022avecHidalgo @partisocialiste hidalgo à salopé PARIS !",1
91,danielr70776956,"hidalgo à salopé PARIS !",1
92,DosArgente1981,"Parrainage :
J’ai hâte de voir les électeurs du @FrontNational ainsi que de #Zemmour ne pas pouvoir exprimer leur colère via les urnes. 
Puis la salope @EmmanuelMacron, @vpecresse &amp;co se cacher, tentant de fuire le pays par n’importe quel moyen. 
Ça promet, 
Vive la France 🇫🇷☠️🏴",2
93,Bibi14650947,"Le Parti Socialiste et la Gauche en générale, que les Francais d'origine Maghrébine ont décidé de suivre et sucer. 
Si ces gens ne sont pas schizophrènes alors ils sont quoi ?
@Anne_Hidalgo la médiocrité du régime politique en Israël se réglette sur vous, pas une surprise! https://t.co/A1rRzxyr87",1
94,Batuxmplix,"@f_philippot Pécresse ce n'est qu'une gonzesse qui n'a jamais fait de S N.",2
95,trqlpeper,"@Anne_Hidalgo grosse pute va",2
96,ParisVigilance,"@parisienencoler @David_Belliard Bloquer délibérément une voie de circulation est un délit.
(L412-1) 
Dehors les délinquants de la Mairie @Paris 
@Anne_Hidalgo
Je salope Paris, donc je suis.
#saccageparis #ParisSousTutelle
#HidalgoDestitution",1
97,Elena12167529,"Pecresse qui éternue :""Alstom Alstom ah ah ah aaaalstom""
A tes souhaits, pute. https://t.co/gyu012z16f",2
98,FFFFF6941,"@ChTaubira Vive l’extrême droite! Et que tous le monde pisse sur cette grosse pute de taubira ou taubichiasse pour les intimes!",2
99,bastinou1003,"@Cha_Minvielle @alicecoffin @BFMTV Personnellement, le sexisme envers les femmes politiques... de droite, j'en ai rien à foutre !

Thatcher était une connasse doublée d'une grosse pute de bourgeoise, tout comme Pécresse.

Balek du sexisme !!!",2
100,BaladesR,"😱Macron CONDAMNE😱
🤣Poutine tremble🤣
Vivement #Zemmour qui est plus intelligent et ouvrira un VRAI dialogue avec la Russie qui est vouée d'être LE partenaire économique Français au lieu de sucer la poire aux USA qui ont TOUJOURS mis leurs intérêts avant le besoin des autres!!! https://t.co/6bspoUKZap",0
101,millisa29204709,"@Avner_Solal @GGigi34 @davidlisnard @vpecresse Bien manœuvré @davidlisnard: se donner le beau rôle à cher; un vrai baiser de Judas..Ça vient bien tard avec un parrainage bien douteux ! Je vous aurais applaudi si vous aviez obtenu de Pécresse les dons des 1500 parrainages qu'elle a en trop.",0
102,jetelejurecvrai,"@DeborahCinq @RobertMenardFR @mercenaire01 Et pour plus de fils de pute : votez Z, Pecresse, Macron, Hidalgo et les autres. 
Tous des merdes. Pas un seul ou une seule relève le niveau. 
Suffit de lire les tweet des partisans ici ou là. 
VOUS ÊTES TOUS DES GROSSES PUTES À CLIQUES. 🤣",1
103,Jackno57,"@courbet_julien @Anne_Hidalgo Super je vais embaucher votre chienne 😘😘😂😂",2
104,ThomasChevry,"@prestidigitatr Qui veut baiser pecresse jeune, personne ? Allez du balai 🧹",2
105,jaouipierre,"Les militants pro pecresse 
Antisémitisme, complotiste hystérique https://t.co/1p7UNvdhxZ",1
106,bossphor,"Salope  de Pecresse ! https://t.co/h2f7guFzQs",2
107,DAbouhiba,"@frhaz @Anne_Hidalgo @amnesty @RadioJFrance Nous aussi on connaît cette thèse ! Cependant, continuez à sucer les boules de vos maîtres et n'oubliez jamais que ce pays est pire que l'apartheid !",1
108,CENDRINEPENNELL,"Le baiser de Judas. @vpecresse personnalité politique de l’année.
Les prédécesseurs :
Hidalgo 2020
Jadot 2019
BErtrand 2018
Hulot 2017
Fillon 2016
Rien que des losers aux pieds plats.
🤪🤪🤪 https://t.co/70UJ0qpkq2",1
109,EF49999,"Je suis même pas française je ne vote pas mais je viens de regarder tout le programme de votre pute de pecresse, elle est d’un ridicule . Pathétique",2
110,Oscar_pili51,"@GeistVoltair @AimonsNotrePays @philippemaniere @Anne_Hidalgo ben non il n'y a pas que paris et sa crasse,qu'est ce qu tu trouves à paris que tu ne trouves pas autre part
dans les boites à cul je dis pas tu peux te faire sucer par baffie en enculant le copain de thierry le luron,mais ça va pas chier bien loin",1
111,777Goldman777,"@__foutaise Bah si et surtout de Zemmour. Ça prouve que Le Pen et Zemmour ne sont pas Franc-Mac. À mon humble avis où qu'il s'agit du baiser de la mort car ils pensent(Les Républicains) que Mélenchon risque d'appeler au front Républicains pour Pécresse face à Zemmour ou Le Pen au 2nd tour...",0
112,DanySmartphone,"#bfmtv tu sais pourquoi  les petits candidats ont les signatures pourritures et la pute le sait aussi, Pécresse devrait dire qu'elle et son parti ont islamisé la France",2
113,FOUCHERFlorenc3,"Insupportable. Ce n'est pas un débat. Mélanchon est hystérique.  J'abandonne. Ça me conforte je voterai #Zemmour  #FaceABaba",1
114,AlainBorter,"@MarisolTouraine donne le baiser 💋 de la mort à #macronmauvaisprésident. Son ralliement, comme celui de @elisabethguigou,  démontre que #Macron est le vrai candidat socialiste 🌹 de cette élection. De quoi refroidir l'ardeur de certains #LR tentés par l'aventure ⁉️ https://t.co/LNMNe2MabJ",0
115,patochemasquey,"@Fuoriclasse1985 @JackolAixois Il n’y a que deux votes possible ? Je préfère voter Hidalgo que ce fils de pute.",1
116,AReconquete62,"Info @Valeurs ""Fils de pute"" : le rappeur #Dadju et la femme de #Gims ont insulté des douaniers à l’aéroport Paris-Charles de Gaulle .#racaille #Delinquance 
#Zemmour #RECONQUETE #Zemmour2022 @Reconquete2022 @ZemmourEric @GenerationZ_off @ZemmourProfs
https://t.co/LRVCTloGP4",0
117,CroiseFranco,"@F_Desouche Tu m'étonnes ! Le servile #Macron rampant et repenti qui leur baise la babouche plutôt que #Zemmour qui les remet à leur place. La bonne blague.",1
118,ElkMek,"pq tte les femmes candidates à une élection (clinton, pecresse, taubira) donnent la même impression d’être hystérique ou du moins tjr à côté de la plaque ?",2
119,pergrandis,"Ma chienne écoutant Taubira 😂 https://t.co/X5oB6INuQk",0
120,BlandineHatara,"Tiens les proches du soutien de pécresse : Le frère et l’épouse du chanteur congolais, DemDem, ont refusé un contrôle à Roissy, puis agoni les agents d’injures et de propos méprisants.
https://t.co/eJ5uTIW0PL",0
121,ArsneHERGESHEI1,"@mlebranchu @Anne_Hidalgo En langage de bistrot, on appelle ça pétasse...",2
122,ThierryFaugere2,"Taubira: le déroulement de son programme est confus,cette grosse pute est dans l’impraperation totale..",2
123,SiVisPacemFR,"@GuiGab92 T'as sucer qui à #LR pour avoir un poste de Délégué National des @jeunesreps ? https://t.co/ETfodkhxdH",?
124,PraesensDev,"@LesEchos Je suis contre. Il faut réduire la masse des véhicules ainsi que leur coefficient de trainée (Cx). Mais bon, c'est pas à la mode d'avoir une voiture efficiente, on veux du SUV. 
Concernant les particules de frein, il y a @TallanoTech 🇫🇷 @Anne_Hidalgo @yjadot",0
125,CKHouria,"Hidalgo c’est vrmt une poufiasse elle veut rien savoir 😭",2
126,chirpichirp,"@dony_lisa @HogardJacques Et puis Valls, et éventuellement Taubira.

Comment Continuer À Baiser Les Français.",0
127,Dridian65321260,"@alexiscorbiere @JLMelenchon Ah ben sa leur Gerse le cul à gauche caviar c’est la même merde ps lr lrem tant qui sont au pouvoir ben l’autre il mange la soupe et trop bonnes avec Macron je me demande pourquoi il sont candidates pecresse et hidalgo deux grossse suceuse de Macron",2
128,whynot69009,"MILA à la #racaille maghrébine de #Lyon qui la harcèle : Aucune femme a envie de vous toucher avec un bâton, bande de fils de pute 😂 #Zemmour2eTour #Zemmour #laracailletue #legrandremplacement https://t.co/ITrafy2PI0 https://t.co/x8uZP01j1W",?
129,CStrohheker,"@pascal_music @achabus Et oui ils se recyclent sans cesse, quels que soient les gvts. Ils doivent en sucer des B**** Valls, Taubira, Bayrou, Fabius, Larché, Bachelot, etc etc il me semble qu on les entend depuis 1000 ans 🤮",1
130,gaillotyves,"pecresse et la rurale elle qui etait contre l ena a strasbourg les postes fermes stion services a 20 km plus d hopitaux ect ect ces bobos le pen zemmour ciotti macron  propose aux ruraux un diner de cons ne votont plus ca ne sert a rien qu a se faire baiser",0
131,pergrandis,"@milafique 1/2 j'ai eu juste le temps de de mettre entre ma chienne et type.
Il m'a ma chienne fait fuire les anges. Le monde est fous.
Réveiller vous. Bon sang y'a n'a marre de ce bordel.
Pecresse vous avez rien fait pour Île de France, à part le bordel. J'espère que vous allez dégager.",?
132,Marxiens,"J'madresse pas aux LGBT Taubira apolitiséses mais à une certaine commu de ""gauche"" qui s'est mise du jour au lendemain à sucer sévère les religions pour pas brusquer les pauvres croyants qui sont pas prêts à être critiquer sur ce terrain la 🥺",1
133,Enghille,"Putain mais le programme de Pécresse 😭😭. Ma théorie que nos vieux essayent de nous baiser en votant pour les pires candidats se confirment de jours en jours c'est un délire. C'est pas possible qu'elle est autant de voix alors que son programme c'est juste de nous tabasser",1
134,alexis_dfd,"comment ça se fait que cette pétasse d'hidalgo a tous les parrainages de France et de Navarre alors que personne vote pour elle mdr vraiment ce système c'est anti-démocratique",2
135,FrancoisHigh,"Après son #ZenithPecresse raté retrouvez #ValerieDetresse sur la scène du théâtre des convictions perdues dans la pièce ""Le Baiser de Judas"". Avec dans le rôle des trahis : @ECiotti @laurentwauquiez #Sarkozy et bien sur #LR .
GO #Zemmour2eTour #ZemmourPresident https://t.co/tB2GHhWlyC",0
136,denis_zakine,"@talkinjive @datirachida @Anne_Hidalgo Vous avez raison elle ne pense qu'à la baise mais pas pour être Maire ou présidente elle est nulle.",2
137,hutin_le,"@Avner_Solal La baisée de l'hôtel de ville,
Anne Hidalgo - Présidentielle (2022) https://t.co/MEbGkS7spP",2
138,Mya_Desevigny,"@DIVIZIO1 J espère que ce pitre ne passera pas . Idem que pecresse macron et la bande de décérébrés de gauches . Il vote contre, il se précipite pour se faire piquer.Un hystérique.",1
139,inisbets,"@mouchni Slendide ! Je vais en parler à Eric ! 
#zemmour 
Tout le monde baise tout le monde !",1
140,AugustaCrochet,"@OuegninR @BalmePatricia @NicolasSarkozy C’est celui qui n’a pas d’autorité qui gueule pendant 1 meeting.Pour se faire comprendre,pas besoin d’être hystérique.Valérie Pecresse c’est l’Angela Merkel de la France.C’est l’efficacité,la connaissance des dossiers,le charisme.Elle n’a pas jamais été condamnée par la justice.",2
141,_KotS_,"@tprincedelamour Y'a pas pire que Pécresse. Tout sonne faux chez elle. Elle sera le toutou des milliardaires et de l'UE et fera pire que Macron.
Je n'ai aucune confiance en une candidate qui a quitté LR en crachant dessus pour ensuite y revenir en courant pour sucer l'opportunité jusqu'à l'os.",1
